Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"sōlus, sōla, sōlum",alone,176,Adjective,,alone,1
"sonus, sonī, {m.}",sound,0,Noun,,sound,1
"soror, sorōris, {f.}",sister,497,Noun,,sister,1
"spectāculum, spectāculī, {n.}","show, spectacle",0,,,"show, spectacle",1
"spectō, spectāre, spectāvī, spectātum",to look at,473,Verb,,to look at,1
"stomachus, stomachī, {m.}",stomach,0,Noun,,stomach,1
"stultus, stulta, stultum",foolish,0,Adjective,,foolish,1
sub,"under {with {{ablative}} or {{accusative}}}; close to {of time, with {{accusative}}}",118,Preposition,,"under {with {{ablative}} or {{accusative}}}; close to {of time, with {{accusative}}}",1
subitō,suddenly,848,Adverb,,suddenly,1
"--, suī, sibi, sē, sē","himself, herself, itself",17,Pronoun,,"himself, herself, itself",1
"sum, esse, fuī, futūrum",to be; to belong to {taking a {{dative}} of the possessor},2,Verb,,to be; to belong to {taking a {{dative}} of the possessor},1
"sūmō, sūmere, sūmpsī, sūmptum","to pick up, to take up",454,Verb,,"to pick up, to take up",1
"surgō (subrigō), surgere (subrigere), surrēxī, surrēctum",to rise,570,Verb,,to rise,1
"suspīciōsus, suspīciōsa, suspīciōsum",suspicious,0,,,suspicious,1
"suus, sua, suum","his own, her own, their own",27,Adjective,,"his own, her own, their own",1
"symphōnia, symphōniae, {f.}",concert,0,,,concert,1
"tālis, tāle","that kind of, such",203,Adjective,,"that kind of, such",1
tam,"so, so much, to such a degree",96,Adverb,,"so, so much, to such a degree",1
tamen,"nevertheless, however",58,Adverb,,"nevertheless, however",1
tandem,at last,427,Adverb,,at last,1
tantum,only,216,,,only,1
"technyphion, technyphiī, {n.}","studio, workshop",0,,,"studio, workshop",1
"tēlum, tēlī, {n.}",weapon,255,Noun,,weapon,1
"templum, templī, {n.}",temple,485,Noun,,temple,1
"temptō, temptāre, temptāvī, temptātum",to try,430,,,to try,1
"terra, terrae, {f.}","land, earth",70,Noun,,"land, earth",1
"tertius, tertia, tertium",third,682,Adjective,,third,1
"timeō, timēre, timuī",to fear,153,Verb,,to fear,1
"timidus, timida, timidum",fearful,0,Adjective,,fearful,1
"tintinnābulum, tintinnābulī, {n.}",bell,0,Noun,,bell,1
"tōtus, tōta, tōtum",whole,78,Adjective,,whole,1
"trānsferō, trānsferre, trānstulī, trānslātum",to carry across,0,Verb,,to carry across,1
"trēs, tria",three,533,Adjective,,three,1
"trīstis, trīste",sad,275,Adjective,,sad,1
"tū, tuī, tibī̆, tē, tē","you {personal pronoun, {{singular}}}",9,Pronoun,,"you {personal pronoun, {{singular}}}",1
"tuus, tua, tuum",your {possessive {{adjective}} referring to a {{singular}} possessor},44,Adjective,,your {possessive {{adjective}} referring to a {{singular}} possessor},1
"varius, varia, varium","various, diverse",631,Adjective,,"various, diverse",1
ubi,where {locative}; when {temporal},92,Adverb,,where {locative}; when {temporal},1
ubīque,everywhere,0,Adverb,,everywhere,1
"vehiculum, vehiculī, {n.}","vehicle, cart",0,Noun,,"vehicle, cart",1
"venēnum, venēnī, {n.}",poison,0,Noun,,poison,1
"veniō, venīre, vēnī, ventum",to come,63,Verb,,to come,1
"vērus, vēra, vērum {(adv. vērō)}",true,410,Adjective,,true,1
"via, viae, {f.}","road, way",196,Noun,,"road, way",1
"victor, victōris, {m.}",conqueror,340,"Noun, Adjective",,conqueror,1
"videō, vidēre, vīdī, vīsum",to see; to seem {in the {{passive}}},31,Verb,,to see; to seem {in the {{passive}}},1
"vīnum, vīnī, {n.}",wine,640,Noun,,wine,1
"violentia, violentiae, {f.}",violence,0,,,violence,1
"violentus, violenta, violentum",violent,0,,,violent,1
"vir, virī, {m.}",man; husband; hero,85,Noun,,man; husband; hero,1
"vīs, vīs, {f.}",force,115,Noun,,force,1
"vīsitō, vīsitāre, vīsitāvī, vīsitātum",to visit,0,Verb,,to visit,1
